snapshot,carrier,region,components,components_t,attribute,value,status,aggregation
1/8/2022,anthracite,KR,generators,generators_t,fuel_cost,117.645,FALSE,national
1/8/2022,oil,KR,generators,generators_t,fuel_cost,428.339,FALSE,national
1/8/2022,LNG,KR,generators,generators_t,fuel_cost,213.847,FALSE,national
1/7/2022,nuclear,KR,generators,generators_t,fuel_cost,6.353,FALSE,national
1/7/2022,bituminous,KR,generators,generators_t,fuel_cost,113.221,FALSE,national
1/7/2022,anthracite,KR,generators,generators_t,fuel_cost,97.185,FALSE,national
1/7/2022,oil,KR,generators,generators_t,fuel_cost,389.626,FALSE,national
1/7/2022,LNG,KR,generators,generators_t,fuel_cost,156.9,FALSE,national
1/6/2022,nuclear,KR,generators,generators_t,fuel_cost,6.354,FALSE,national
1/6/2022,bituminous,KR,generators,generators_t,fuel_cost,101.858,FALSE,national
1/6/2022,anthracite,KR,generators,generators_t,fuel_cost,76.29,FALSE,national
1/6/2022,oil,KR,generators,generators_t,fuel_cost,382.371,FALSE,national
1/6/2022,LNG,KR,generators,generators_t,fuel_cost,139.868,FALSE,national
1/5/2022,nuclear,KR,generators,generators_t,fuel_cost,6.362,FALSE,national
1/5/2022,bituminous,KR,generators,generators_t,fuel_cost,101.382,FALSE,national
1/5/2022,anthracite,KR,generators,generators_t,fuel_cost,190.757,FALSE,national
1/5/2022,oil,KR,generators,generators_t,fuel_cost,336.503,FALSE,national
1/5/2022,LNG,KR,generators,generators_t,fuel_cost,145.868,FALSE,national
1/4/2022,nuclear,KR,generators,generators_t,fuel_cost,6.359,FALSE,national
1/4/2022,bituminous,KR,generators,generators_t,fuel_cost,98.375,FALSE,national
1/4/2022,anthracite,KR,generators,generators_t,fuel_cost,82.411,FALSE,national
1/4/2022,oil,KR,generators,generators_t,fuel_cost,316.265,FALSE,national
1/4/2022,LNG,KR,generators,generators_t,fuel_cost,200.965,FALSE,national
1/3/2022,nuclear,KR,generators,generators_t,fuel_cost,6.363,FALSE,national
1/3/2022,bituminous,KR,generators,generators_t,fuel_cost,90.678,FALSE,national
