snapshot,carrier,marginalcost_t
1/1/2022,bituminous,128468.538
1/1/2022,anthracite,0
1/1/2022,oil,217177.6733
1/1/2022,LNG,206207.9812
1/1/2022,PSH,299637.085
1/1/2022,fuelcell,151186.8336
1/1/2022,IGCC,151384.4423
1/1/2022,solar,149903.2631
1/1/2022,wind,161324.3035
1/1/2022,hydro,181772.9342
1/1/2022,ocean,149900.743
1/1/2022,bio,209016.774
1/1/2022,waste,
1/1/2022,miscellaneous,160324.637
1/12/2021,nuclear,50521.55116
1/12/2021,bituminous,125759.3982
1/12/2021,anthracite,0
1/12/2021,oil,302343.113
1/12/2021,LNG,193820.4783
1/12/2021,PSH,270938.6693
1/12/2021,fuelcell,141299.6824
1/12/2021,IGCC,141587.1346
1/12/2021,solar,142970.8934
1/12/2021,wind,145966.8974
1/12/2021,hydro,168595.562
1/12/2021,ocean,143269.1343
1/12/2021,bio,193593.8011
1/12/2021,waste,
1/12/2021,miscellaneous,147915.8078
1/11/2021,nuclear,41290.19969
1/11/2021,bituminous,116607.3847
1/11/2021,anthracite,139169.3192
1/11/2021,oil,239694.1298
1/11/2021,LNG,155254.5521
1/11/2021,PSH,185815.8632
1/11/2021,fuelcell,125827.7916
1/11/2021,IGCC,126018.3315
1/11/2021,solar,126026.3428
1/11/2021,wind,129762.0258
1/11/2021,hydro,140517.6182
1/11/2021,ocean,128484.3814
1/11/2021,bio,167298.0323
1/11/2021,waste,
1/11/2021,miscellaneous,128668.7199
1/10/2021,nuclear,35117.24932
1/10/2021,bituminous,100740.6797
1/10/2021,anthracite,118790.395
1/10/2021,oil,203171.4543
1/10/2021,LNG,126230.5476
1/10/2021,PSH,126647.8815
1/10/2021,fuelcell,106934.6079
1/10/2021,IGCC,108531.926
1/10/2021,solar,107687.0834
1/10/2021,wind,110901.1524
1/10/2021,hydro,114712.2187
1/10/2021,ocean,107762.015
1/10/2021,bio,148253.4954
1/10/2021,waste,
1/10/2021,miscellaneous,109100.2945
1/9/2021,nuclear,32739.56963
1/9/2021,bituminous,95376.66495
1/9/2021,anthracite,121831.3398
1/9/2021,oil,213888.2072
1/9/2021,LNG,125421.7576
1/9/2021,PSH,130291.4344
1/9/2021,fuelcell,96732.4256
1/9/2021,IGCC,97070.9028
1/9/2021,solar,98748.6589
1/9/2021,wind,101463.034
1/9/2021,hydro,109286.731
1/9/2021,ocean,93311.5041
1/9/2021,bio,150906.3846
1/9/2021,waste,
1/9/2021,miscellaneous,100621.1096
1/8/2021,nuclear,40967.12466
1/8/2021,bituminous,100137.2577
1/8/2021,anthracite,110989.1136
1/8/2021,oil,532428.0646
