snapshot,name,carrier,region,components,attribute,value,status,aggregation
1/6/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,5.8,TRUE,province
1/6/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/5/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,85.8,TRUE,province
1/5/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/5/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.38942,TRUE,province
1/5/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/5/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.3,TRUE,province
1/5/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/5/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/5/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/4/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,85.8,TRUE,province
1/4/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/4/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.57942,TRUE,province
1/4/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/4/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
1/4/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/4/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/4/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/3/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,68.4,TRUE,province
1/3/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/3/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.838085,TRUE,province
1/3/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/3/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
1/3/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/3/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/3/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/2/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,68.4,TRUE,province
1/2/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/2/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.838085,TRUE,province
1/2/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/2/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
1/2/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/2/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/2/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/1/2023,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,68.4,TRUE,province
1/1/2023,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/1/2023,solar_서울특별시,solar,서울특별시,generators,p_nom,46.831825,TRUE,province
1/1/2023,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/1/2023,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
1/1/2023,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/1/2023,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/1/2023,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/12/2022,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,68.4,TRUE,province
1/12/2022,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/12/2022,solar_서울특별시,solar,서울특별시,generators,p_nom,46.6198,TRUE,province
1/12/2022,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/12/2022,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
1/12/2022,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/12/2022,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/12/2022,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/11/2022,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,68.4,TRUE,province
1/11/2022,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/11/2022,solar_서울특별시,solar,서울특별시,generators,p_nom,45.987865,TRUE,province
1/11/2022,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/11/2022,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
1/11/2022,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/11/2022,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/11/2022,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/10/2022,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,68.4,TRUE,province
1/10/2022,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/10/2022,solar_서울특별시,solar,서울특별시,generators,p_nom,45.570695,TRUE,province
1/10/2022,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/10/2022,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
1/10/2022,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/10/2022,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/10/2022,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/9/2022,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,68.4,TRUE,province
1/9/2022,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/9/2022,solar_서울특별시,solar,서울특별시,generators,p_nom,45.570695,TRUE,province
1/9/2022,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/9/2022,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
1/9/2022,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/9/2022,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/9/2022,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/8/2022,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,68.4,TRUE,province
1/8/2022,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/8/2022,solar_서울특별시,solar,서울특별시,generators,p_nom,45.614375,TRUE,province
1/8/2022,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/8/2022,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
1/8/2022,ocean_서울특별시,ocean,서울특별시,generators,p_nom,0,TRUE,province
1/8/2022,bio_서울특별시,bio,서울특별시,generators,p_nom,6.865,TRUE,province
1/8/2022,waste_서울특별시,waste,서울특별시,generators,p_nom,0,TRUE,province
1/7/2022,fuelcell_서울특별시,fuelcell,서울특별시,generators,p_nom,68.1,TRUE,province
1/7/2022,IGCC_서울특별시,IGCC,서울특별시,generators,p_nom,0,TRUE,province
1/7/2022,solar_서울특별시,solar,서울특별시,generators,p_nom,45.603455,TRUE,province
1/7/2022,wind_서울특별시,wind,서울특별시,generators,p_nom,0,TRUE,province
1/7/2022,hydro_서울특별시,hydro,서울특별시,generators,p_nom,0.316,TRUE,province
